latitude,longitude,noise Level,location
6.683285245,-1.575697188,46.13,Commercial Area 
6.680614021,-1.575286734,50.65,African hall
6.679332458,-1.573545255,50.37,Chancellor hall
6.678160457,-1.573589981,53.21,Republic Hall
6.676603006,-1.574461509,48.94,Queen Elizabeth hall
6.677137129,-1.571757783,50.38,Independence hall 
6.674744063,-1.571361007,48.18,Main Administration
6.67953985,-1.571871237,50.75,Unity Hall
6.681181393,-1.571417117,47.23,SRC hostel
6.672639366,-1.572465332,48.6,University hall
6.673230744,-1.567417536,62.47,College of Science
6.673618923,-1.564850218,59.77,College of Engineering
6.674380118,-1.564652695,60.57,College of Built and Art
6.67418699,-1.567170487,61.42,Pharmacy science
6.675569039,-1.566777625,60.16,College of Agriculture
6.675498974,-1.568240857,61.16,Institute of Distance Learning
6.67454385,-1.56580983,60.85,Faculty of Social Science
6.670186214,-1.574144248,56.23,Brunei
6.669666976,-1.576402997,60.71,KCCR
6.680729543,-1.573857857,65.52,Arts Workshops
6.681623584,-1.575192843,71.98,Opoku Ware II Museum
6.682409961,-1.571462326,71.66,KNUST Islamic Centre
6.667929224,-1.567406497,52.83,KSB
6.666448972,-1.567215171,70.2,FOSS New Block
6.676301247,-1.564463682,61.29,Faculty of Renewable
