Areas,Mean,Temp.,Humidity,Std. Deviation,Minimum,Maximum
,,°C,%,,,
Commercial Area ,42.99,20,99,6.64,30.5,50.6
African hall,57.48,20,99,13.41,30.7,74.9
Chancellor hall,47.78,20,99,4.73,42.4,54.7
Republic Hall,51.51,20,99,4.07,44.2,58.1
Queen Elizabeth hall,49.92,20,99,5.26,43.4,57.3
Independence hall ,54.22,20,99,5.77,45.4,65.5
Main Administration,49.68,20,99,4.32,41.2,55.4
Unity Hall,52.39,20,99,10.69,40,82.8
SRC hostel,50.04,20,99,10.69,38.3,78.9
University hall,47.98,20,99,5.89,39,56.7
College of Science,59.73,23,95,9.35,44.1,73.9
College of Engineering,56.65,23,95,10.98,40.9,72
College of Built and Art,58.08,23,95,8.76,44.7,71.3
Pharmacy science,58.67,23,95,11.06,39.9,72.8
College of Agriculture,57.6,23,99,8.19,47.1,68.1
Institute of Distance Learning,57.4,23,99,6.91,46.2,65.6
Faculty of Social Science,55.05,23,99,8.06,39.5,67.5
Brunei,67.42,23,99,,,
KCCR,73.58,23,99,,,
Arts Workshops,47.68,23,99,,,
Opoku Ware II Museum,67.58,23,99,,,
KNUST Islamic Centre,42.1,23,99,,,
KSB,63.35,23,99,,,
FOSS New Block,58.54,23,99,,,
Faculty of Renewable,57.51,23,99,,,
